수주재질,사내재질,열처리민감소재여부,열처리비고,Crack민감재질,Crack매우민감재질,11
SA182F6ACL1,TW F6A M1,주의 재질,NT 시 큰 문제 없음,,O,
SA182F6ACL2,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SA182F6ACL3,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SA182F6NM,TW F6NM,주의 재질,NT 시 큰 문제 없음,,O,
SA182F9,TW F9,주의 재질,NT 시 큰 문제 없음,,O,
SA182F904L,SA182F904L,,,O,,
SA182F91,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
SA182F92,A182F92,주의 재질,NT 시 큰 문제 없음,,O,
SA182M F316L,TW F316L,,,O,,
SA182MF11CL1,TW F11,,,O,,
SA182MF11CL2,TW F11,,,O,,
SA182MF22CL3,TW F22,,,O,,
SA182MF304,TW F304L,,,,,해당없음
SA182MF304L,TW F304L,,,,,해당없음
SA182M-F304L,TW F304L,,,,,해당없음
SA182MF316L,TW F316L,,,O,,
SA182MF347H,TW F347H,,,O,,
SA182MGRF1,TW F1,,,O,,
SA234WP22CL3,TW F22,,,O,,
SA240-316L,TW F316L,,,O,,
SA240F304,TW F304L,,,,,해당없음
SA240-S31803,TW F51,,,,O,
SA266Gr1,TW 266N Gr2,,,,,해당없음
SA266Gr1N,TW 266M Gr2,,,,,해당없음
SA266Gr2,TW 266M Gr2,,,,,해당없음
SA266Gr2 + S13,TW 266M Gr2,,,,,해당없음
SA266Gr2N,TW 266M Gr2,,,,,해당없음
SA266Gr3,TW S355,,,,,해당없음
SA266Gr4,TW 350LF2,,,,,해당없음
SA266Gr4 + S9,TW 350LF2,,,,,해당없음
SA266Gr4+S9,TW 350LF2,,,,,해당없음
SA266Gr4N,TW 350LF2(C 0.17~20),,,,,해당없음
SA266M Gr4,TW 350LF2(C 0.17~20),,,,,해당없음
SA266M1,,,,,,
SA266M2,TW 266M Gr2,,,,,해당없음
SA266MGr2,TW 266N Gr2,,,,,해당없음
SA266MGR2N,TW 266M Gr2,,,,,해당없음
SA266MGR4N,TW 350LF2,,,,,해당없음
SA266N GR2,TW 266N Gr2,,,,,해당없음
SA312GR.TP304,TW F304L,,,,,해당없음
SA336/182F22CL3,TW F22,,,O,,
SA336F1,TW F1,,,O,,
SA336F11CL.2,TW F11,,,O,,
SA336F11CL1,TW F11,,,O,,
SA336F11CL2,TW F11,,,O,,
SA336F11CL2/SA182F11CL2,TW F11 BLOCK,,,O,,
SA336F11CL3,TW F11,,,O,,
SA336F12,,,,,,
SA336F12CL2,SA336F12 M1,,,O,,
SA336F22,TW F22,,,O,,
SA336F22CL1,TW F22,,,O,,
SA336F22CL3,TW F22,,,O,,
SA336F22V,TW F22V,,,O,,
SA336F304,TW F304L,,,,,해당없음
SA336F304/F304L,TW F304L,,,,,해당없음
SA336F316/F316L,SA182F316L,,,O,,
SA336F321,TW F321H,,,O,,
SA336F321H,TW F321H,,,O,,
SA336F347,SA336F347/F347H,,,O,,
SA336F5,TW F5,주의 재질,NT 시 큰 문제 없음,O,,
SA336F5a,TW F5,주의 재질,NT 시 큰 문제 없음,O,,
SA336F9,TW F9,주의 재질,NT 시 큰 문제 없음,,O,
SA336F91,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
SA336MF1,TW F1,,,O,,
SA336MF11CL2,TW F11,,,O,,
SA336MF11CL3,TW F11,,,O,,
SA336MF12,SA336F12 M1,,,O,,
SA336MF22CL1,TW F22,,,O,,
SA336MF22CL3,SA336MF22CL3,,,O,,
SA350LF1,TW 350LF2,,,,,해당없음
SA350LF1CL1,TW 350LF2,,,,,해당없음
SA350LF2,TW 350LF2,,,,,해당없음
SA350LF2CL1,TW 350LF2,,,,,해당없음
SA350LF2CL1+P305GH N,TW 350LF2,,,,,해당없음
SA350LF2CL1N,TW 350LF2(C 0.17~20),,,,,해당없음
SA350LF2CL2,TW 350LF2,,,,,해당없음
SA350LF2CL2N,TW 350LF2,,,,,해당없음
SA350LF2M,SA350LF2M,,,,,해당없음
SA350LF2N,TW 350LF2,,,,,해당없음
SA350LF3,TW 350LF3,,,,O,
SA350LF3CL1,SA350LF3,,,,O,
SA350LF3CL2,TW 350LF3,,,,O,
SA350LF6CL2,TW 350LF6,,,O,,
SA350M LF1,TW 266M Gr2,,,,,해당없음
SA350MLF2CL1,TW 350LF2,,,,,해당없음
SA350MLF2CL2,TW 350LF2,,,,,해당없음
SA36,TW 350LF2,,,,,해당없음
SA372 Grade E CL.70,TW SCM430,,,O,,
SA387F11CL2,TW F11,,,O,,
SA387Gr22CL1,TW F22,,,O,,
SA387Gr22CL2,TW F22,,,O,,
SA508GR1A,TW 350LF2(C 0.17~20),,,,,해당없음
SA508Gr2,TW 508GR2,,,O,,
SA508Gr22CL3,SA508Gr22CL3,,,O,,
SA508Gr2CL1,TW 508GR2,,,O,,
SA508Gr2CL2,TW 508GR2,,,O,,
SA508Gr3CL1,TW 508GR3,,,O,,
SA508Gr3CL2,TW 508GR3,,,O,,
SA508Gr4CL1,TW 508GR4N,,,O,,
SA508Gr4N,TW 508GR4N,,,O,,
SA508MGr3CL1,TW 508GR3,,,O,,
SA508MGR3CL2,TW 508GR3,,,O,,
SA516 70N,SA516 70N,뭔지 모르겠음,,,,
SA516 Gr65,TW S355,,,,,해당없음
SA516-70,TW 350LF2(C 0.17~20),,,,,해당없음
SA516Gr60,TW 350LF2,,,,,해당없음
SA516Gr70,TW 350LF2,,,,,해당없음
SA516GR70N,TW 350LF2,,,,,해당없음
SA765Gr1,TW 266M Gr2,,,,,해당없음
SA765Gr2,TW 350LF2,,,,,해당없음
SA765Gr2N,TW 350MLF2,,,,,해당없음
SA765Gr3,TW 350LF3,,,,O,
SA765GR4,SA765GR4,,,O,,
SA765MGR4,SA765GR4,,,O,,
SA965F304,TW F304L,,,,,해당없음
SA965F304/304H DUAL,TW F304H,,,,,해당없음
SA965F304/F304L,SA182F304L,,,,,해당없음
SA965F304H,TW F304H,,,,,해당없음
SA965F304L,TW F304L,,,,,해당없음
SA965F304N/LN,TW F304L,,,,,해당없음
SA965F316,TW F316L,,,O,,
SA965F316/F316L,TW F316L,,,O,,
SA965F316H,TW F316H,,,O,,
SA965F316L,TW F316L,,,O,,
SA965F321,TW F321H,,,O,,
SA965F321H,TW F321H,,,O,,
SA965F347,TW F347H,,,O,,
SA965F347H,TW F347H,,,O,,
SA965MF304L,TW F304L,,,,,해당없음
SA965MF316L,TW F316L,,,O,,
SA965MF321,TW F321H,,,O,,
SAE1045,TW S45SU,,,O,,
SAE4340,TW SNCM439,주의 재질,,O,,
SB171 C71500,SB171 C71500,뭔지 모르겠음,,,,
SB410,SA105,,,,,해당없음
SB450,TW S25C,,,,,해당없음
SB480M,TW F1M,,,O,,
SB564 UNS N08825,SB564 UNS N08825,뭔지 모르겠음,,,,
SBC690,TW S30Mn(SBC690),,,,,해당없음
SC49,TW S35C,,,O,,
SCM415,TW SCM415,,,O,,
SCM420,TW SCM420,,,O,,
SCM430,TW SCM430,,,O,,
SCM435,TW SCM435,주의 재질,,O,,
SCM440,TW SCM440,주의 재질,,O,,
SCM440-H,TW42CrMo4,주의 재질,,O,,
SCM440-QT,42CRMO4(STW),주의 재질,,O,,
SCM445,SCM445,주의 재질,,O,,
SCMn2A,C and C-Mn STEEL,,,,,
SF440,SF440,,,,,해당없음
SF440A,SF440,,,,,해당없음
SF45,SA266Gr2C,,,,,해당없음
SF45A,TW 350LF2,,,,,해당없음
SF480,TW SF490V,,,,,해당없음
SF490,TW SF490,,,,,해당없음
SF490A,TW SF490,,,,,해당없음
SF50,S35C RS,,,O,,
SF500,TW SF490,,,,,해당없음
SF520,TW S355,,,,,해당없음
SF540,TW SF490V,,,,,해당없음
SF540A,SF540,,,O,,
SF540B,TW S45SU,,,O,,
SF55,TW S35C,,,O,,
SF55A,TW S35C,,,O,,
SF55B,TW S35C,,,O,,
SF590A,TW S45SU,,,O,,
SF590B,TW S45SU,,,O,,
SF640A,S55C,,,O,,
SF640B,TW S45SU,,,O,,
SFCM590D,TW SCM420,,,O,,
SFCM590R,TW SCM420,,,O,,
SFCM590S,42CRMO4(STW),,,O,,
SFCM640R,TW SCM430,,,O,,
SFCM690R,TW SCM430,,,O,,
SFCM740R,TW SCM440,,,O,,
SFCM780R,TW SCM435,주의 재질,,O,,
SFCM780S,TW SCM435,주의 재질,,O,,
SFCM830R,TW SCM440,주의 재질,,O,,
SFCM830S,42CRMO4(STW),주의 재질,,O,,
SFCM880R,TWCrMo825,주의 재질,,O,,
SFCM880S,42CRMO4(STW),주의 재질,,O,,
SFL1,TW 350LF2,,,,,해당없음
SFL2,TW 350LF2,,,,,해당없음
SFL3,TW 350LF3,,,,O,
SFNCM1030R,TW SNCM439,주의 재질,,O,,
SFNCM880S,TW SNCM439,주의 재질,,O,,
SFNCM930D,TW SNCM439,주의 재질,,O,,
SFNCM980D,TW SNCM439,주의 재질,,O,,
SFNCM980R,SNCM431M,주의 재질,,O,,
SFNCM980S,34CrNiMo6TWNiCrMo850,주의 재질,,O,,
SFVAF1,TW F1,,,O,,
SFVAF11A,TW F11,,,O,,
SFVAF11B,TW F11,,,O,,
SFVAF22A,TW F22,,,O,,
SFVAF22B,TW F22,,,O,,
SFVAF28,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
SFVAF5B,TW F5,주의 재질,NT 시 큰 문제 없음,O,,
SFVC1,TW 350LF2,,,,,해당없음
SFVC2A,TW 350LF2,,,,,해당없음
SFVC2B,TW 350LF2,,,,,해당없음
SKD61,STD61,주의 재질,,O,,
SKS31,TW 350LF2,,,,,해당없음
SKT4,SKT4,주의 재질,,O,,
SKT4 (KO411),SKT4 (KO411),주의 재질,,O,,
SLF2,TW 350LF2,,,,,해당없음
SM400,TW S355,,,,,해당없음
SM400A,TW S355,,,,,해당없음
SM400B,TW 266M Gr2,,,,,해당없음
SM400CN-Z25,TW S355,,,,,해당없음
SM45C,TW S45SU,,,O,,
SM490A,TW 350LF2,,,,,해당없음
SM490B,TW S355,,,,,해당없음
SM490B-Z25 ,S355NL,,,,,해당없음
SM490Y,TW S355,,,,,해당없음
SM490YA,TW S355,,,,,해당없음
SM490YBN,TW S355,,,,,해당없음
SM490YB-Z25,TW S355,,,,,해당없음
SM490YB-Z35,TW S355,,,,,해당없음
SM50A,TW 350LF2,,,,,해당없음
SM520B,TW S355,,,,,해당없음
SM520B-Z25,TW S355,,,,,해당없음
SM520C,TW S355,,,,,해당없음
SM520CN,TW S355,,,,,해당없음
SNC815,TW SNC815,주의 재질,,,,
SNCM220,SNCM220,,,O,,
SNCM420,TW SNCM420,,,O,,
SNCM420H,,,,,,
SNCM439,TW SNCM439,주의 재질,,O,,
SNCM625,SNCM625,주의 재질,,O,,
SPV 355,TW S355,,,,,해당없음
SS400,TW S355,,,,,해당없음
SS41,TW 350LF2,,,,,해당없음
SSW Q1R,TW SSW R-1,,,O,,
SSW Q3R,TW SSW R-1,,,O,,
SSWR1,TW SSW R-1,,,O,,
ST330,TW S35C,,,O,,
ST330S,TW 350LF2,,,,,해당없음
ST44-2,TW S355,,,,,해당없음
ST52,TW S355,,,,,해당없음
ST52.3,TW S355,,,,,해당없음
ST52-3,TW S355,,,,,해당없음
Stainless steel 15-5,TW 17-4,주의 재질,,,,
STD61,STD61,주의 재질,,O,,
STEEL FORGING,TW S355,,,,,해당없음
STS304,TW F304H,,,,,해당없음
STS310S,A182F310,,,,,
SUS304,TW F304L,,,,,해당없음
SUS316,SUS316,,,O,,
SUS316L,TW SUS F316L,,,O,,
SUS403,TW F6A,,,,O,
SUS403(A),TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS403FB,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS403Q,SUS403Q,주의 재질,,,,
SUS403Q HT,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS410,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS410Q,TW F6A,주의 재질,,,O,
SUS420J2,SUS420J2,뭔지 모르겠음,,,,
SUS630,SUS630,주의 재질,,,O,
SUSF304,TW F304L,,,,,해당없음
SUSF304H,TW F304H,,,,,해당없음
SUSF304L,TW SUS F304L,,,,,해당없음
SUSF316,TW F316L,,,O,,
SUSF316L,TW SUS F316L,,,O,,
SUSF321,TW F321H,,,O,,
SUSF347,TW F347H,,,O,,
SUSF410,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUSF410-B,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUSF410-C,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
TW 266M Gr2,TW 266M Gr2,,,,,해당없음
TW F6NM,TW F6NM,주의 재질,NT 시 큰 문제 없음,,O,
TW P1,TW-P1,,,O,,
TW P4,TW-P4,,,O,,
TW P4M,TW-P4M(200~400T),,,O,,
TW P4M,TW-P4M(410~650T),,,O,,
TW S355Mn,TW S355Mn,,,,,해당없음
TW SCM435,TW SCM435,주의 재질,,O,,
TW SF490V M3,TW SF490V M3,,,,,해당없음
TW SF590,TW S45SU,,,O,,
TW SNCM420,TW SNCM420,,,O,,
TW SNCM439,TW SNCM439,주의 재질,,O,,
TWCrMo825,TWCrMo825,주의 재질,,O,,
TW-P1,TW-P1,,,O,,
TW-P4M,TW-P4M,,,O,,
TWS355,TW S355,,,,,해당없음
TWSF490,TW S355,,,,,해당없음
TWSF520,TW S355,,,,,해당없음
TWSF520N-Z25,TWSF520N-Z25,,,,,해당없음
TWSF520-Z25,S355NL,,,,,해당없음
UNS S32750,TW F53,,,,O,
WTG-113,WTG-113,주의 재질,,O,,
X10CrMoVNbN9-1,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
X11CrMo12,,,,,,
X11CrMo12-1,,,,,,
ZAN10911,S355NL,,,,,해당없음
火SFVAF28,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
,F11,,,O,,
,A694F70M2,,,O,,
,42CrMo4,,,O,,
,B50A584A2,,,O,,
,SF490V,,,,,
,TW3355,,,,,
,B50A584B,,,O,,
,S355NL,,,,,
,F347,,,O,,
,F304H,,,,,
,"FORGED
STEEL",,,,,
,TW8620,,,O,,
,F22V,,,O,,
,A765Gr4M2,,,O,,
,A350LF3CL1,,,,O,
,A35LF2,,,,,
,SF490VM3,,,,,
,38X2H3M,,,O,,
,A266MGr2,,,,,
,S45C,,,O,,
,SCM430,,,O,,
,"SA765GR4
M2",,,O,,
,A266MG2,,,,,
,A765Gr4,,,,,
,SF490VM1,,,,,
,SF590,,,O,,
,S25C,,,,,
,42CrMo4M,,,O,,
,TWS355Mn,,,,,
,F12,,,O,,
,TWS360,,,,,
,A350LF2,,,,,
,S355Mn,,,,,
,A350LF6,,,O,,
,F321H,,,O,,
,A106,,,,,
,SNCM431M1,,,O,,
,A350LF3,,,,O,
,AISI4130M2,,,O,,
,F347H,,,O,,
,WTG113,,,O,,
,TWS355,,,,,
,SCM420,,,O,,
,A694F65,,,,,
,F22,,,O,,
,SF490A,,,,,
,F316L,,,O,,
,S35C,,,O,,
,S508Gr3,,,O,,
,A508Gr3,,,O,,
,F304L,,,,,
,S17Mo6,,,O,,
,4130M2,,,O,,
,SKT4,,,O,,
,30CrNiMo8V,,,,O,
,SF490N,,,,,
,TW F316L,,,O,,
,C-STEEL,,,O,,
,TW 350LF2,,,,,
,"WTG-113
(INGOT)",,,O,,
,TW S45SU,,,O,,
,SFCM830,,,O,,
,TW SCM435,,,O,,
,SFCM830R,,,O,,
,"TWCrMo825
(INGOT)",,,O,,
,A266Gr2,,,,,
,TW42CrMo4M,,,O,,
,TW S17MoS,,,O,,
,TW 350LF3,,,,O,
,TW F304L,,,,,
,TW SF490VM3,,,,,
,"SKT4
(KO411)",,,O,,
,TW SNCM439,,,O,,
,TW SF490V,,,,,
,TW SFCM830,,,O,,
,TW B50A584B,,,O,,
,TW S35C,,,O,,
,TW 42CrMo4M,,,O,,
,TW F321H,,,O,,
,TW SF590,,,O,,
,TW 20rc,,,O,,
,TW F6A,,,,O,
,TW 266Gr2,,,,,
,TW F11,,,O,,
,TWCrMo825,,,O,,
,TW F22,,,O,,
,TW S355Mn,,,,,
,TW 694 F70 M2,,,O,,
,TW F91,,,,O,
,TW F304H,,,,,
,TW SF490 N,,,,,
,TW S25C,,,,,
,TW SF490V M3,,,,,
,WTG-113,,,O,,
,TW X11 CrMo12-1,,,,O,
,TW F347H,,,O,,
,"TWS355
(300T)",,,,,
,TW A266MGr2,,,,,
,SCM440,,,O,,
,TW 42CrMo4,,,O,,
,"TW 42CRMO4
(TWCrMo825)",,,O,,
,TW 765Gr.4 M2,,,O,,
,TW F11 BLOCK,,,O,,
,TW 508Gr3,,,O,,
,TW SCM420,,,O,,
,TW F5,,,O,,
,A694F70 M2,,,O,,
,"A350LF2
(300T)",,,,,
,TW 266MGr2,,,,,
,"TW 350LF2
BLOCK",,,,,
,TW S360,,,,,
,TW SF490V M1,,,,,
,TW F22V,,,O,,
,A336F12 MOD1,,,O,,
,TW X11CrMo12-1,,,O,,
,TW 38X2H3M,,,O,,
